Year,Revenue,EBIT Margin %,FCF Margin %,Revenue Growth %
2025,416161.0,31.970799762591884,23.732882225869314,6.425511782832749
2024,391035.0,31.510222870075566,27.825386474356517,2.021994077514111
2023,383285.0,29.821412265024723,25.981710737440807,-2.800460530319937
2022,394328.0,30.288744395528592,28.261498042238948,
2021,,,,
