Year,Revenue,EBIT Margin %,Revenue Growth %,FCF Margin %
2026,215938.0,65.6248552825348,65.47353579009479,49.2186414619011
2025,130497.0,64.57849605738063,114.20340763599354,48.43387204303548
2024,60922.0,55.93217556876006,125.85452658115224,41.94913167657005
2023,26974.0,16.471416919997033,,12.353562689997775
2022,,0.0,,0.0
