Year,Revenue,EBIT Margin %,Revenue Growth %,FCF Margin %
2025,281724.0,44.728883588192694,14.932156232406712,33.54666269114452
2024,245122.0,45.170160165142256,15.66996201307127,33.877620123856694
2023,211915.0,43.073402071585306,6.8820295556564215,32.30505155368898
2022,198270.0,43.26373127553336,,32.44779845665002
